n,sd,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
7,8.000000,1.000000,10000,0,0,10000,0,0,10000
7,8.000000,9.000000,10000,0,0,10000,0,0,10000
7,8.000000,7.000000,10000,0,0,10000,0,0,10000
7,6.000000,9.000000,10000,0,0,10000,0,0,10000
7,8.000000,3.000000,10000,0,0,10000,0,0,10000
7,8.000000,5.000000,10000,0,0,10000,0,0,10000
7,10.000000,1.000000,10000,0,0,10000,0,0,10000
7,10.000000,3.000000,10000,0,0,10000,0,0,10000
7,10.000000,5.000000,10000,0,0,10000,0,0,10000
7,10.000000,7.000000,10000,0,0,10000,0,0,10000
7,12.000000,3.000000,10000,0,0,10000,0,0,10000
7,12.000000,5.000000,10000,0,0,10000,0,0,10000
7,12.000000,9.000000,10000,0,0,10000,0,0,10000
7,12.000000,1.000000,10000,0,0,10000,0,0,10000
7,10.000000,9.000000,10000,0,0,10000,0,0,10000
7,12.000000,7.000000,10000,0,0,10000,0,0,10000
7,14.000000,9.000000,10000,0,0,10000,0,0,10000
8,6.000000,1.000000,10000,0,0,10000,0,0,10000
7,14.000000,1.000000,10000,0,0,10000,0,0,10000
7,14.000000,5.000000,10000,0,0,10000,0,0,10000
7,14.000000,3.000000,10000,0,0,10000,0,0,10000
7,14.000000,7.000000,10000,0,0,10000,0,0,10000
8,6.000000,3.000000,10000,0,0,10000,0,0,10000
8,6.000000,9.000000,10000,0,0,10000,0,0,10000
8,6.000000,5.000000,10000,0,0,10000,0,0,10000
8,6.000000,7.000000,10000,0,0,10000,0,0,10000
8,10.000000,5.000000,10000,0,0,10000,0,0,10000
8,10.000000,1.000000,10000,0,0,10000,0,0,10000
8,8.000000,5.000000,10000,0,0,10000,0,0,10000
8,8.000000,9.000000,10000,0,0,10000,0,0,10000
8,10.000000,3.000000,10000,0,0,10000,0,0,10000
8,10.000000,9.000000,10000,0,0,10000,0,0,10000
8,8.000000,1.000000,10000,0,0,10000,0,0,10000
8,8.000000,7.000000,10000,0,0,10000,0,0,10000
8,10.000000,7.000000,10000,0,0,10000,0,0,10000
8,8.000000,3.000000,10000,0,0,10000,0,0,10000
8,12.000000,5.000000,10000,0,0,10000,0,0,10000
8,12.000000,1.000000,10000,0,0,10000,0,0,10000
8,12.000000,7.000000,10000,0,0,10000,0,0,10000
8,14.000000,3.000000,10000,0,0,10000,0,0,10000
8,14.000000,7.000000,10000,0,0,10000,0,0,10000
8,14.000000,5.000000,10000,0,0,10000,0,0,10000
8,14.000000,1.000000,10000,0,0,10000,0,0,10000
8,14.000000,9.000000,10000,0,0,10000,0,0,10000
8,12.000000,3.000000,10000,0,0,10000,0,0,10000
8,12.000000,9.000000,10000,0,0,10000,0,0,10000
9,6.000000,1.000000,10000,0,0,10000,0,0,10000
9,6.000000,3.000000,10000,0,0,10000,0,0,10000
9,6.000000,5.000000,10000,0,0,10000,0,0,10000
9,6.000000,7.000000,10000,0,0,10000,0,0,10000
9,6.000000,9.000000,10000,0,0,10000,0,0,10000
9,8.000000,3.000000,10000,0,0,10000,0,0,10000
9,8.000000,1.000000,10000,0,0,10000,0,0,10000
9,8.000000,7.000000,10000,0,0,10000,0,0,10000
9,8.000000,9.000000,10000,0,0,10000,0,0,10000
