n,variability,zcorr,zerr1,zerr2,tcorr,terr1,terr2,total
11,7.000000,7233,0,2767,7013,0,2987,10000
11,5.000000,7211,1,2788,7030,1,2969,10000
11,9.000000,7265,1,2734,7077,1,2922,10000
9,3.000000,8759,120,1121,8652,86,1262,10000
9,5.000000,8682,115,1203,8567,77,1356,10000
9,1.000000,8772,89,1139,8635,66,1299,10000
10,5.000000,8811,94,1095,8723,66,1211,10000
10,9.000000,8816,88,1096,8726,60,1214,10000
11,1.000000,7679,0,2321,7505,0,2495,10000
13,3.000000,7369,94,3731,15903,66,4031,10000
12,3.000000,8677,1082,1430,17510,905,1585,10000
12,1.000000,8654,995,2677,16272,843,2885,10000
13,1.000000,7386,1,2613,7212,0,2788,10000
14,3.000000,9034,39,927,8961,29,1010,10000
14,7.000000,9066,38,896,9011,30,959,10000
14,9.000000,9012,39,949,8958,33,1009,10000
14,1.000000,8372,6,1622,8254,4,1742,10000
14,3.000000,8383,5,1612,8263,4,1733,10000
14,7.000000,8423,2,1575,8319,1,1680,10000
14,9.000000,8406,5,1589,8298,5,1697,10000
14,1.000000,7928,3,2069,7793,2,2205,10000
14,3.000000,7907,1,2092,7768,1,2231,10000
14,5.000000,7960,1,2039,7831,1,2168,10000
14,7.000000,7853,0,2147,7707,0,2293,10000
14,9.000000,7843,2,2155,7693,1,2306,10000
14,3.000000,7354,1,2645,7225,0,2775,10000
14,1.000000,7408,0,2592,7245,0,2755,10000
14,5.000000,7379,0,2621,7235,0,2765,10000
14,7.000000,7411,0,2589,7263,0,2737,10000
14,9.000000,7383,0,2617,7223,0,2777,10000
15,1.000000,7415,0,2585,7285,0,2715,10000
14,5.000000,8436,2,1562,8326,1,1673,10000
13,1.000000,9000,31,969,8921,22,1057,10000
13,3.000000,9037,41,922,8948,28,1024,10000
13,5.000000,9000,35,965,8941,24,1035,10000
13,7.000000,8955,49,996,8878,41,1081,10000
13,9.000000,8944,41,1015,8869,30,1101,10000
13,1.000000,8312,6,1682,8215,6,1779,10000
13,3.000000,8489,3,1508,8368,3,1629,10000
13,5.000000,8404,8,1588,8281,5,1714,10000
13,7.000000,8454,7,1539,8352,5,1643,10000
13,9.000000,8393,6,1601,8284,4,1712,10000
13,1.000000,7894,0,2106,7718,0,2282,10000
13,3.000000,7865,0,2135,7703,0,2297,10000
13,5.000000,7858,3,2139,7727,1,2272,10000
13,7.000000,7804,3,2193,7667,2,2331,10000
13,9.000000,7937,1,2062,7786,1,2213,10000
12,7.000000,8671,997,332,8773,869,358,10000
12,9.000000,8635,1019,346,8751,876,373,10000
12,1.000000,8961,53,986,8886,42,1072,10000
12,3.000000,8951,45,1004,8879,31,1090,10000
12,5.000000,8923,47,1030,8845,41,1114,10000
12,7.000000,8964,54,982,8890,39,1071,10000
12,9.000000,8889,47,1064,8807,30,1163,10000
12,1.000000,8338,7,1655,8198,4,1798,10000
12,3.000000,8342,9,1649,8208,3,1789,10000
12,5.000000,8303,6,1691,8162,3,1835,10000
12,7.000000,8302,7,1691,8139,7,1854,10000
12,9.000000,8311,6,1683,8153,5,1842,10000
13,5.000000,7352,0,2648,7170,0,2830,10000
13,7.000000,7365,0,2635,7202,0,2798,10000
13,9.000000,7383,0,2617,7215,0,2785,10000
14,3.000000,8733,932,335,8828,816,356,10000
14,5.000000,8724,920,356,8839,791,370,10000
12,5.000000,7766,1,2233,7617,1,2382,10000
12,7.000000,7792,1,2207,7641,0,2359,10000
12,9.000000,7777,2,2221,7613,2,2385,10000
12,1.000000,7263,1,2736,7089,1,2910,10000
12,3.000000,7327,0,2673,7144,0,2856,10000
12,5.000000,7330,3,2667,7164,2,2834,10000
12,7.000000,7334,3,2663,7130,2,2868,10000
12,9.000000,7272,0,2728,7101,0,2899,10000
13,1.000000,8747,914,339,8844,799,357,10000
13,3.000000,8688,957,355,8789,820,391,10000
13,5.000000,8756,942,302,8863,809,328,10000
13,7.000000,8737,934,329,8841,797,362,10000
13,9.000000,8727,948,325,8820,823,357,10000
14,9.000000,8804,873,323,8916,740,344,10000
14,7.000000,8745,957,298,8858,830,312,10000
14,1.000000,9068,31,901,9019,20,961,10000
14,5.000000,9079,39,882,9032,30,938,10000
15,1.000000,8802,858,340,8884,745,371,10000
15,3.000000,8796,890,314,8885,769,346,10000
15,5.000000,8805,880,315,8904,753,343,10000
15,7.000000,8781,898,321,8883,775,342,10000
15,9.000000,8814,879,307,8910,762,328,10000
15,1.000000,8979,25,996,8927,17,1056,10000
15,3.000000,9073,16,911,9027,10,963,10000
15,5.000000,9014,21,965,8957,15,1028,10000
15,7.000000,8993,39,968,8938,32,1030,10000
15,9.000000,9055,32,913,9000,28,972,10000
15,1.000000,8496,2,1502,8403,1,1596,10000
15,3.000000,8495,3,1502,8380,1,1619,10000
15,5.000000,8550,1,1449,8453,0,1547,10000
15,7.000000,8455,2,1543,8355,1,1644,10000
15,1.000000,7947,0,2053,7816,0,2184,10000
15,3.000000,7964,0,2036,7840,0,2160,10000
15,5.000000,7899,0,2101,7777,0,2223,10000
15,7.000000,7953,0,2047,7836,0,2164,10000
15,9.000000,7917,1,2082,7781,1,2218,10000
15,3.000000,7487,1,2512,7328,1,2671,10000
15,7.000000,7438,0,2562,7298,0,2702,10000
15,9.000000,7501,0,2499,7381,0,2619,10000
16,1.000000,8839,849,312,8923,746,331,10000
16,3.000000,8784,899,317,8860,800,340,10000
